Date,Open,High,Low,Close,Adj Close,Volume,Growth% of Close from previous day
2009-12-01,145.354996,155.5,145.354996,153.990005,144.129593,4338810.0,-2.7729098391807963
2009-12-02,156.399994,160.0,148.660004,149.720001,140.133011,4689480.0,-0.16363545175236055
2009-12-03,150.014999,152.100006,148.75,149.475006,139.903687,2534030.0,-0.8061561810541138
2009-12-04,148.5,150.880005,145.110001,148.270004,138.775833,1216690.0,-2.0772927206503664
2009-12-07,148.509995,149.789993,144.110001,145.190002,135.893051,1559620.0,0.8884867981474422
2009-12-08,145.300003,148.199997,144.535004,146.479996,137.100494,1795420.0,1.0342702357801736
2009-12-09,147.0,149.695007,143.910004,147.994995,138.518448,2182250.0,-1.8379006668434945
2009-12-10,149.5,149.5,144.899994,145.274994,135.972641,1275630.0,-0.7227589353746487
2009-12-11,146.100006,146.940002,143.005005,144.225006,134.989868,1726640.0,0.9083015742776109
2009-12-14,144.199997,147.800003,144.199997,145.535004,136.215958,1368280.0,-0.10650290015450528
2009-12-15,146.199997,146.899994,144.625,145.380005,136.070908,915890.0,1.3344352271827151
2009-12-16,146.800003,148.0,145.320007,147.320007,137.886673,1155240.0,1.0690991889512984
2009-12-17,147.990005,149.759995,146.005005,148.895004,139.36084,1802490.0,1.061151789888133
2009-12-18,149.470001,152.25,147.699997,150.475006,140.839645,2254220.0,-0.4253191390469307
2009-12-21,150.899994,151.399994,147.509995,149.835007,140.240646,1124660.0,0.3069983505256567
2009-12-22,151.399994,151.5,147.949997,150.294998,140.671188,1466110.0,0.29275957673589287
2010-01-04,153.800003,153.800003,150.110001,150.735001,141.083023,831170.0,3.00527280986317
2010-01-05,152.199997,155.880005,151.304993,155.264999,145.322952,1231990.0,1.2977812211237736
2010-01-06,155.505005,158.149994,153.210007,157.279999,147.208893,1882490.0,-1.522764506121341
2010-01-07,157.895004,157.895004,153.335007,154.884995,144.967255,923100.0,1.685121273368014
2010-01-08,155.580002,160.5,155.005005,157.494995,147.410141,3298080.0,-0.01586971065334007
