Date,Open,High,Low,Close,Adj Close,Volume,Growth% of Close from previous 30 days
2010-01-22,145.0,145.0,140.0,143.199997,134.030457,3423490.0,-7.006953470778835
2010-01-25,144.449997,145.600006,140.0,144.449997,135.200455,2196320.0,-3.5199064686086934
2010-01-27,143.600006,144.485001,140.289993,142.100006,133.000931,2767580.0,-4.933935242658562
2010-01-28,142.5,148.994995,141.009995,144.619995,135.359573,3399690.0,-2.4617312345928117
2010-01-29,142.0,152.5,142.0,147.304993,137.872635,3314050.0,1.4567056759183759
2010-02-01,144.625,152.490005,143.360001,150.649994,141.003448,2688440.0,2.846803736941659
2010-02-02,151.800003,153.804993,148.509995,151.360001,141.668015,2939510.0,2.2737295947069174
2010-02-03,151.600006,153.5,149.710007,150.145004,140.530807,1224590.0,3.3522699715272455
2010-02-04,151.199997,151.5,147.0,149.914993,140.315521,5378300.0,3.9452152978242916
2010-02-05,149.0,149.970001,145.600006,147.389999,137.952194,3625520.0,1.2746040121041964
2010-02-08,149.800003,152.300003,147.110001,151.175003,141.494873,1833970.0,3.986103866209106
2010-02-09,151.800003,155.100006,149.5,154.235001,144.358871,1626630.0,4.6938594022738584
2010-02-10,153.5,153.595001,150.300003,150.955002,141.288925,1390320.0,1.3835239226697005
2010-02-11,151.899994,153.449997,151.0,152.035004,142.299774,841350.0,1.036715692172811
2010-02-15,151.884995,153.994995,150.600006,152.809998,143.025146,790530.0,1.9855113031095712
2010-02-16,153.014999,156.300003,152.759995,154.445007,144.555466,1686250.0,2.7612422603711746
2010-02-17,154.300003,157.0,152.910004,154.175003,144.30275,1427580.0,2.2821521061322665
2010-02-18,155.899994,155.899994,153.309998,154.509995,144.616272,491460.0,-0.48626799656243547
2010-02-19,153.210007,156.369995,151.714996,154.985001,145.060883,1234270.0,-1.4591798159917286
2010-02-22,156.199997,156.679993,153.119995,153.580002,143.745834,589910.0,-0.842556117201667
2010-02-23,153.5,157.860001,153.5,157.039993,146.984283,1664490.0,-0.2888993393091501
2010-02-24,156.600006,157.190002,152.199997,152.75,142.968994,1546110.0,-2.997396945466455
2010-02-25,152.0,154.5,150.5,152.065002,142.327866,1763060.0,-3.2542252371776117
2010-02-26,151.800003,157.899994,150.899994,153.970001,144.110855,1603740.0,-0.5233221380237942
2010-03-02,154.699997,156.789993,153.115005,155.145004,145.210617,1616660.0,-0.5161866081985216
2010-03-03,154.199997,157.850006,153.005005,156.184998,146.184036,2654430.0,2.4096800999829573
2010-03-04,155.850006,159.5,155.014999,158.679993,148.519272,1249950.0,4.639116894348854
2010-03-05,158.5,161.820007,157.024994,161.270004,150.943451,1432040.0,8.533554304692212
2010-03-08,162.0,164.979996,161.100006,163.964996,153.465851,1622100.0,11.287194631212136
2010-03-09,163.5,166.199997,163.020004,165.479996,154.88385,1321800.0,12.967194504780725
2010-03-10,165.5,166.199997,164.0,164.369995,153.84494,846760.0,14.78351846613516
2010-03-11,163.505005,170.589996,163.505005,169.315002,158.473297,2264970.0,17.21357252780005
2010-03-12,170.0,171.0,164.494995,165.554993,154.954056,3116460.0,16.505971857594425
2010-03-15,165.0,166.300003,161.350006,162.304993,151.912155,1667150.0,12.228598127112374
2010-03-16,163.800003,167.979996,161.300003,167.255005,156.545181,1126450.0,13.543337258092816
2010-03-17,168.800003,172.289993,166.199997,168.774994,157.96785,2594110.0,12.031198620558857
2010-03-18,168.725006,170.524994,168.524994,169.779999,158.908463,1078760.0,12.16966033186006
2010-03-19,170.0,170.479996,167.5,169.809998,158.936615,1237280.0,13.097334893673857
