Date,Open,High,Low,Close,Adj Close,Volume
2010-02-10,153.500000,153.595001,150.300003,150.955002,141.288925,1390320
2010-02-11,151.899994,153.449997,151.000000,152.035004,142.299774,841350
2010-02-15,151.884995,153.994995,150.600006,152.809998,143.025146,790530
2010-02-16,153.014999,156.300003,152.759995,154.445007,144.555466,1686250
2010-02-17,154.300003,157.000000,152.910004,154.175003,144.302750,1427580
2010-02-18,155.899994,155.899994,153.309998,154.509995,144.616272,491460
2010-02-19,153.210007,156.369995,151.714996,154.985001,145.060883,1234270
2010-02-22,156.199997,156.679993,153.119995,153.580002,143.745834,589910
2010-02-23,153.500000,157.860001,153.500000,157.039993,146.984283,1664490
2010-02-24,156.600006,157.190002,152.199997,152.750000,142.968994,1546110
2010-02-25,152.000000,154.500000,150.500000,152.065002,142.327866,1763060
2010-02-26,151.800003,157.899994,150.899994,153.970001,144.110855,1603740
2010-03-02,154.699997,156.789993,153.115005,155.145004,145.210617,1616660
2010-03-03,154.199997,157.850006,153.005005,156.184998,146.184036,2654430
2010-03-04,155.850006,159.500000,155.014999,158.679993,148.519272,1249950
2010-03-05,158.500000,161.820007,157.024994,161.270004,150.943451,1432040
2010-03-08,162.000000,164.979996,161.100006,163.964996,153.465851,1622100
2010-03-09,163.500000,166.199997,163.020004,165.479996,154.883850,1321800
2010-03-10,165.500000,166.199997,164.000000,164.369995,153.844940,846760
2010-03-11,163.505005,170.589996,163.505005,169.315002,158.473297,2264970
2010-03-12,170.000000,171.000000,164.494995,165.554993,154.954056,3116460
2010-03-15,165.000000,166.300003,161.350006,162.304993,151.912155,1667150
2010-03-16,163.800003,167.979996,161.300003,167.255005,156.545181,1126450
2010-03-17,168.800003,172.289993,166.199997,168.774994,157.967850,2594110
2010-03-18,168.725006,170.524994,168.524994,169.779999,158.908463,1078760
2010-03-19,170.000000,170.479996,167.500000,169.809998,158.936615,1237280
2010-03-22,168.199997,170.899994,167.610001,170.595001,159.671341,961970
2010-03-23,171.000000,171.794998,168.119995,169.035004,158.211197,1388000
2010-03-25,169.000000,177.000000,169.000000,174.985001,163.780197,3202560
2010-03-26,175.500000,178.500000,174.050003,176.970001,165.638123,1398310
2010-03-29,176.449997,181.199997,175.100006,180.080002,168.548965,2078100
2010-03-30,180.600006,180.600006,174.250000,175.320007,164.093781,1270730
2010-03-31,177.500000,179.779999,175.000000,179.199997,167.725311,2012990
2010-04-01,179.500000,181.199997,178.009995,180.404999,168.853165,1676080
2010-04-05,181.000000,185.300003,180.000000,184.169998,172.377106,1464850
2010-04-06,182.800003,184.880005,181.035004,182.184998,170.519196,915050
2010-04-07,181.199997,181.199997,179.014999,179.684998,168.179276,1813120
2010-04-08,181.000000,182.095001,176.800003,177.354996,165.998459,1480810
2010-04-09,177.990005,179.699997,176.500000,176.949997,165.619370,899640
2010-04-12,178.485001,181.949997,178.130005,179.759995,168.249466,2378590
2010-04-13,180.199997,181.440002,177.000000,177.895004,166.503876,769190
2010-04-15,180.399994,181.899994,178.115005,179.934998,168.413254,1035670
2010-04-16,181.975006,181.975006,179.100006,180.869995,169.288376,829140
2010-04-19,178.899994,179.100006,174.899994,176.309998,165.020370,812290
2010-04-20,177.770004,181.470001,174.559998,180.000000,168.474091,1567020
2010-04-21,181.300003,181.300003,174.000000,174.654999,163.471329,2602980
2010-04-22,174.654999,174.654999,170.009995,170.904999,159.961426,6015500
2010-04-23,171.514999,171.800003,167.699997,168.414993,157.630936,2977230
2010-04-26,169.000000,169.000000,158.399994,160.315002,150.049561,8794320
2010-04-27,159.705002,162.699997,157.690002,159.600006,149.380386,6763620
2010-04-28,158.000000,163.300003,157.110001,162.309998,151.916824,4522590
2010-04-29,162.660004,163.300003,157.815002,158.744995,148.580093,4617420
2010-04-30,159.199997,160.500000,151.100006,157.119995,147.059158,3013200
2010-05-03,157.399994,159.500000,156.199997,157.339996,147.265091,1296650
2010-05-04,157.899994,159.380005,155.100006,155.735001,145.762848,1499840
2010-05-05,155.000000,156.800003,152.199997,152.899994,143.109390,2016300
2010-05-06,152.899994,156.899994,151.600006,156.024994,146.034256,4462350
2010-05-07,155.000000,158.399994,152.220001,153.210007,143.399551,3046990
